     Antarctic_slope            Shelf_press             SO_press_down_mod
   5.8342819928054290e-02   3.3363454783401056e+02   3.3346178006349481e+02
   5.7195236894525860e-02   3.3565821474326435e+02   3.3548439824169293e+02
   5.6047653860997429e-02   3.3768190136720699e+02   3.3750703611471363e+02
   5.4900070827468991e-02   3.3970560770518244e+02   3.3952969368190190e+02
   5.3752487793940568e-02   3.4172933375653440e+02   3.4155237094260252e+02
   5.2604904760412137e-02   3.4375307952060683e+02   3.4357506789616053e+02
   5.1457321726883699e-02   3.4577684499674348e+02   3.4559778454192065e+02
   5.0309738693355276e-02   3.4780063018428825e+02   3.4762052087922808e+02
   4.9162155659826845e-02   3.4982443508258490e+02   3.4964327690742715e+02
   4.8014572626298407e-02   3.5184825969097727e+02   3.5166605262586307e+02
   4.6866989592769977e-02   3.5387210400880906e+02   3.5368884803388033e+02
   4.6609281125861227e-02   3.5589596803542395e+02   3.5571166313082392e+02
   4.6351572658952477e-02   3.5791985177016585e+02   3.5773449791603849e+02
   4.6093864192043726e-02   3.5994375521237822e+02   3.5975735238886892e+02
   4.5836155725134983e-02   3.6196767836140481e+02   3.6178022654865970e+02
   4.5578447258226240e-02   3.6399162121658924e+02   3.6380312039475552e+02
   4.5320738791317483e-02   3.6601558377727542e+02   3.6582603392650134e+02
   4.5063030324408733e-02   3.6803956604280671e+02   3.6784896714324145e+02
   4.4805321857499990e-02   3.7006356801252673e+02   3.6987192004432080e+02
   4.4547613390591240e-02   3.7208758968577905e+02   3.7189489262908364e+02
   4.4289904923682490e-02   3.7411163106190725e+02   3.7391788489687491e+02
   4.4032196456773746e-02   3.7613569214025495e+02   3.7594089684703903e+02
   4.3774487989864989e-02   3.7815977292016555e+02   3.7796392847892054e+02
   4.3516779522956239e-02   3.8018387340098258e+02   3.7998697979186403e+02
   4.3259071056047496e-02   3.8220799358204954e+02   3.8201005078521388e+02
   4.3001362589138739e-02   3.8423213346270995e+02   3.8403314145831479e+02
   4.2743654122229996e-02   3.8625629304230716e+02   3.8605625181051101e+02
   4.2485945655321246e-02   3.8828047232018463e+02   3.8807938184114715e+02
   4.2228237188412496e-02   3.9030467129568569e+02   3.9010253154956763e+02
   4.1970528721503753e-02   3.9232888996815376e+02   3.9212570093511670e+02
   4.1712820254595002e-02   3.9435312833693223e+02   3.9414888999713901e+02
   4.1455111787686252e-02   3.9637738640136439e+02   3.9617209873497876e+02
   4.1197403320777509e-02   3.9840166416079364e+02   3.9819532714798021e+02
   4.0939694853868752e-02   4.0042596161456316e+02   4.0021857523548812e+02
